```
"Rock, Indie",Norma Tanega,Walkin' My Cat Named Dog,1966,05/24/2024,,
"Rock, Classic",Bad Company,Straight Shooter,1975,,,
"Rock, Psych",Frank Zappa,Over-Nite Sensation,1976,03/24/2024,,
"Rock, Classic",Three Dog Night,Captured Live at the Forum,1969,04/24/2024,,
"Rock, Soft",James Taylor,Mud Slide Slim And The Blue Horizon,1971,,,
Bluegrass,Ozark Mountain Daredevils,Ozark Mountain Daredevils,1973,04/23/2024,,
Rock,Carpenters,Close To You,1970,,,
Electronic,Explosions In The Sky,all of a sudden i miss everyone,2007,04/27/2024,,
Funk/Soul,Thundercat,It Is What It Is,2020,,,
"Rock, Classic",Steely Dan,Gaucho,1980,,,

```
